"title","count(title)"
"CENSEO",113
"SVBLIMIS",113
"DAMNVM",113
"CONSEQVOR",113
"PROPONO",113
"FRETVM",113
"NEFAS",113
"PERAGO",113
"FAS",113
"OPINIO",113
"PROGREDIOR",113
"CVPIDO",113
"TEMPERO",113
"ORIGO",112
"RETRO/1",112
"STVLTVS",112
"CONDICIO",112
"LOCO",112
"EFFVGIO",112
"FRVCTVS",112
"COMPLVRES/2",112
"STVDEO",112
"TRIVMPHVS",112
"QVOT/1",112
"FREMO",112
"POSSIDEO",112
"PANDO/2",112
"AVGVSTVS/N",112
"ACERBVS",111
"TRANS/2",111
"INDVCO",111
"SVADEO",111
"BACCHVS/N",111
"CONFIRMO",111
"PROPINQVVS",111
"HVMILIS",111
"AVDAX",111
"CINIS",110
"SOLVM/2",110
"EXSTINGVO",110
"MINERVA/N",110
"LVCVS",110
"PRIVATVS",110
"ALITER",110
"ANTEQVAM",109
"DOLVS",109
"EPISTOLA",109
"IVS/2",109
"DECIPIO",109
"APER",109
"NIX",109
"VRO",109
"CONSIDO",109
"MONSTRO",109
"CATO/N",109
"ADMITTO",109
"CONTVMELIA",109
"RVINA",108
"ASCENDO",108
"CALIDVS",108
"STRINGO",108
"OBEO/1",108
"PVDEO",108
"DISPONO",108
"LARGVS",108
"LATINVS/A",108
"CVBICVLVM",108
"OBTINEO",108
"SOLLICITVS",108
"PERSVADEO",108
"SECERNO",108
"PROICIO",107
"COMPLECTOR",107
"DVODECIM",107
"ACHILLES/N",107
"VENTER",107
"TRANSFERO",107
"TRIBVNVS",107
"CONVIVIVM",107
"NEPOS/1",107
"DOMO",107
"IVCVNDVS",107
"ALIQVANDO",107
"CONSCIVS",107
"INTERDVM",107
"DIANA/N",107
"OBSTO",106
"EXPELLO",106
"PVLVIS",106
"COMMODVS",106
"CALOR",106
"TIBERIVS/N",106
"RVPES",106
"ANGVSTVS",106
"AGGREDIOR",106
"NECO",106
"VENA",106
"ADMONEO",105
"ILLIC/1",105
"VIOLO",105
"DEMONSTRO",105
"PERDVCO",105
"REMVS",105
"SERVS",105
"NVMMVS",105
"EXPEDIO",105
"ERIGO",105
"INCOLVMIS",105
"VTER/1",105
"SIMPLEX",105
"GALEA",105
"MVTVVS",104
"PROPTEREA",104
"RVSTICVS/2",104
"INSEQVOR",104
"EIVSMODI",104
"LENIS/2",104
"CHRISTVS/N",104
"NOVEM",104
"PLVS",104
"FVMVS",104
"TESTIMONIVM",104
"OBSCVRVS",104
"PROFVNDVS",104
"PRONVS",104
"CONCVRRO",103
"IVVENTVS",103
"HAVRIO",103
"STILICHO/N",103
"LIBYA/N",103
"FESTINO",103
"CICERO/N",103
"DISCRIMEN",103
"LATIVM/N",103
"CHORVS",103
"CLADES",103
"COMPREHENDO",103
"QVIESCO",102
"SVSPENDO",102
"DANAI/N",102
"CORRVMPO",102
"CESSO",102
"SAEVIO",102
